2026-02-27 16:27:12 | INFO     | dashboard | Loading manifest from /Users/ricki/Local Projects/FMP_SerieA_Dashboard/outputs/manifest.json
2026-02-27 16:27:12 | INFO     | dashboard | Manifest loaded: 8 artifacts
2026-02-27 16:27:12 | INFO     | dashboard | Filter callbacks registered
2026-02-27 16:27:12 | INFO     | dashboard | Tab callbacks registered
2026-02-27 16:27:12 | INFO     | dashboard | Download callbacks registered
2026-02-27 16:27:12 | INFO     | dashboard | Dashboard app initialized. Debug=True
2026-02-27 16:27:13 | INFO     | dashboard | Loading manifest from /Users/ricki/Local Projects/FMP_SerieA_Dashboard/outputs/manifest.json
2026-02-27 16:27:13 | INFO     | dashboard | Manifest loaded: 8 artifacts
2026-02-27 16:27:13 | INFO     | dashboard | Filter callbacks registered
2026-02-27 16:27:13 | INFO     | dashboard | Tab callbacks registered
2026-02-27 16:27:13 | INFO     | dashboard | Download callbacks registered
2026-02-27 16:27:13 | INFO     | dashboard | Dashboard app initialized. Debug=True
2026-02-27 16:27:46 | INFO     | dashboard | Loading manifest from /Users/ricki/Local Projects/FMP_SerieA_Dashboard/outputs/manifest.json
2026-02-27 16:27:46 | INFO     | dashboard | Manifest loaded: 8 artifacts
2026-02-27 16:27:56 | INFO     | dashboard | Loading manifest from /Users/ricki/Local Projects/FMP_SerieA_Dashboard/outputs/manifest.json
2026-02-27 16:27:56 | INFO     | dashboard | Manifest loaded: 8 artifacts
2026-02-27 16:29:01 | INFO     | dashboard | Loading manifest from /Users/ricki/Local Projects/FMP_SerieA_Dashboard/outputs/manifest.json
2026-02-27 16:29:01 | INFO     | dashboard | Manifest loaded: 8 artifacts
2026-02-27 16:29:27 | INFO     | dashboard | Loading manifest from /Users/ricki/Local Projects/FMP_SerieA_Dashboard/outputs/manifest.json
2026-02-27 16:29:27 | INFO     | dashboard | Manifest loaded: 8 artifacts
2026-02-27 16:29:27 | INFO     | dashboard | Filter callbacks registered
2026-02-27 16:29:27 | INFO     | dashboard | Tab callbacks registered
2026-02-27 16:29:27 | INFO     | dashboard | Download callbacks registered
2026-02-27 16:29:27 | INFO     | dashboard | Dashboard app initialized. Debug=True
2026-02-27 16:29:27 | INFO     | dashboard | Loading manifest from /Users/ricki/Local Projects/FMP_SerieA_Dashboard/outputs/manifest.json
2026-02-27 16:29:27 | INFO     | dashboard | Manifest loaded: 8 artifacts
2026-02-27 16:29:27 | INFO     | dashboard | Filter callbacks registered
2026-02-27 16:29:27 | INFO     | dashboard | Tab callbacks registered
2026-02-27 16:29:27 | INFO     | dashboard | Download callbacks registered
2026-02-27 16:29:27 | INFO     | dashboard | Dashboard app initialized. Debug=True
2026-02-27 16:31:14 | INFO     | dashboard | Loading manifest from /Users/ricki/Local Projects/FMP_SerieA_Dashboard/outputs/manifest.json
2026-02-27 16:31:14 | INFO     | dashboard | Manifest loaded: 8 artifacts
2026-02-27 16:31:14 | INFO     | dashboard | Filter callbacks registered
2026-02-27 16:31:14 | INFO     | dashboard | Tab callbacks registered
2026-02-27 16:31:14 | INFO     | dashboard | Download callbacks registered
2026-02-27 16:31:14 | INFO     | dashboard | Dashboard app initialized. Debug=True
2026-02-27 16:33:57 | INFO     | dashboard | Loading manifest from /Users/ricki/Local Projects/FMP_SerieA_Dashboard/outputs/manifest.json
2026-02-27 16:33:57 | INFO     | dashboard | Manifest loaded: 8 artifacts
2026-02-27 16:33:57 | INFO     | dashboard | Filter callbacks registered
2026-02-27 16:33:57 | INFO     | dashboard | Tab callbacks registered
2026-02-27 16:33:57 | INFO     | dashboard | Download callbacks registered
2026-02-27 16:33:57 | INFO     | dashboard | Dashboard app initialized. Debug=True
2026-02-27 16:36:02 | INFO     | dashboard | Loading manifest from /Users/ricki/Local Projects/FMP_SerieA_Dashboard/outputs/manifest.json
2026-02-27 16:36:02 | INFO     | dashboard | Manifest loaded: 8 artifacts
2026-02-27 16:36:02 | INFO     | dashboard | Filter callbacks registered
2026-02-27 16:36:02 | INFO     | dashboard | Tab callbacks registered
2026-02-27 16:36:02 | INFO     | dashboard | Download callbacks registered
2026-02-27 16:36:02 | INFO     | dashboard | Dashboard app initialized. Debug=True
2026-02-27 16:36:02 | INFO     | dashboard | Loading manifest from /Users/ricki/Local Projects/FMP_SerieA_Dashboard/outputs/manifest.json
2026-02-27 16:36:02 | INFO     | dashboard | Manifest loaded: 8 artifacts
2026-02-27 16:36:02 | INFO     | dashboard | Filter callbacks registered
2026-02-27 16:36:02 | INFO     | dashboard | Tab callbacks registered
2026-02-27 16:36:02 | INFO     | dashboard | Download callbacks registered
2026-02-27 16:36:02 | INFO     | dashboard | Dashboard app initialized. Debug=True
2026-02-27 16:39:38 | INFO     | dashboard | Loading manifest from /Users/ricki/Local Projects/FMP_SerieA_Dashboard/outputs/manifest.json
2026-02-27 16:39:38 | INFO     | dashboard | Manifest loaded: 8 artifacts
2026-02-27 16:39:38 | INFO     | dashboard | Filter callbacks registered
2026-02-27 16:39:38 | INFO     | dashboard | Tab callbacks registered
2026-02-27 16:39:38 | INFO     | dashboard | Download callbacks registered
2026-02-27 16:39:38 | INFO     | dashboard | Dashboard app initialized. Debug=True
2026-02-27 16:39:42 | INFO     | dashboard | Loading manifest from /Users/ricki/Local Projects/FMP_SerieA_Dashboard/outputs/manifest.json
2026-02-27 16:39:42 | INFO     | dashboard | Manifest loaded: 8 artifacts
2026-02-27 16:39:42 | INFO     | dashboard | Filter callbacks registered
2026-02-27 16:39:42 | INFO     | dashboard | Tab callbacks registered
2026-02-27 16:39:42 | INFO     | dashboard | Download callbacks registered
2026-02-27 16:39:42 | INFO     | dashboard | Dashboard app initialized. Debug=True
2026-02-27 16:41:00 | INFO     | dashboard | Loading manifest from /Users/ricki/Local Projects/FMP_SerieA_Dashboard/outputs/manifest.json
2026-02-27 16:41:00 | INFO     | dashboard | Manifest loaded: 8 artifacts
2026-02-27 16:41:00 | INFO     | dashboard | Filter callbacks registered
